	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
各种风格	西幻	\n[[artist:as109,artist:wlop]],{[artist:wanke]},[artist:ciloranko],[[artist:hiten]],artist:k-suwabe,{{artist:mamimi}},artist:okazu,dnd,fantasy,medieval,【】,cowboy shot,official alternate costume,offcial art,
各种风格	不能天使风格	\n1.3::artist:terada_tera:: {{no lineart}},
各种风格	上古galgame风格	\n2::artist:m&m (mickey and mackey)::,year_2023,year_2024,\nQ版画风1\nartist:massakasama,0.6::artist:fenrir_(fenriluuu)::,0.5::artist:amonitto::,0.6::artist:op na yarou::,0.4::artist:channel_(caststation)::,\nyear 2025,year 2024,
各种风格	表情包画风1	\nmiratsu (miratsu169)::,chibi,chibi only,year 2024,year 2025,perspective,
各种风格	表情包画风2	\nImazawa,deel (rkeg),kyou 039,chibi,
各种风格	恋人不行	\n1.5::artist:takeshima_eku :: ,Incredibly absurdres:: ,5::masterpiece, best quality, absurdres, very aesthetic, detailed::,-2::Lineart::,colorful, 4K, vardan, path tracing, anti-aliasing shader, subsurface scattering, light particles, light diffusion ,smooth shading ,cinematic angle,
各种风格	刮画线条	\n3::flat color::,5::high contrast,color contrast::,5::outline,no lineart,glowing outline,colorful outline::,
各种风格	手绘美漫风格	\n1.3::faux traditional media,painterly,sketch,jaggy lines ::,1.5::artist:squeaky (artist) ::,1.0::artist:chronozbergh::,1.6::artist:rei (sanbonzakura) ::,1.1::spaghetti-bastard ::,
各种风格	月计	\n2::project moon,lobotomy_corporation,very aesthetic,official art,aesthetic::,
各种风格	死或生	\ndead or alive , official art , dead or alive xtreme, 3d,:artist:fugtrup::, ::artist:billyhhyb::, ::artist:87yawa anagi::, ::artist:seapall::,realistic, year 2024, no text, best quality, very aesthetic, absurdres,
