	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在Tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
泳装	透肉白色死库水	\n1girl,solo,see-through clothes,white school swimsuit,wet clothes,wet hair,wet,body blush,half-closed eyes,steaming body,randoseru,pale skin,looking at viewer,
泳装	游泳圈上抽烟	\n1girl,solo,see-through clothes,white school swimsuit,lying,on back,on innertube,duck innertube,holding cigarette,smoking,looking up,cowboy shot,wet,wet clothes,wet hair,body blush,night,pool,water,dark background,moonlight,
泳装	透明外套+丝带泳装	\n1.8::see-through coat::,0.8::white long ribbon bondage breasts::,ribbon bow,1.4::covering breasts ribbon::,white thigh garter,navel,groin,bare shoulders,
泳装	圣诞节比基尼	\nsanta hat,christmas outfit,santa bikini,red velvet,white fur trim,detached sleeves,capelet,fur collar,0.9::nipple piercing,nipple bells::,festive ribbon,body ribbon,christmas lights,wrapped in lights,pink pubic tattoo,nipples rings under clothes,festive bondage,heart,thigh strap,candy cane,
泳装	婊子胶衣比基尼泳装	\n1girl,solo,seaside,sunset,dim light,dusk,blood red sky,dark red theme,orange theme,8::shiny hair ornament::,3::see-through shiny hair ribbon::,bitch,0.7::face focus::,plump,heavy makeup,shiny golden eyeshadow,golden shiny lipstick,glittery makeup,shiny makeup,golden fingernails,3.0::half-closed eyes,lustful eyes::,latex costume,indecent clothes,shiny skin,oild skin,upper body,2::heart-shaped sunglasses::,golden mini bikini,long golden earrings,golden necklace,bare shoulder,
泳装	开口连体泳装	\nfinger heart,standing on one leg,leg up,smile,navel,stomach cutout,high heels,holding umbrella,thigh strap,hair bow,frills,casual one-piece swimsuit,bare shoulders,navel cutout,closed mouth,foot out of frame,black sandals,frilled one-piece swimsuit,stomach,wrist cuffs,strappy heels,platform footwear,parasol,brooch,sideboob,
泳装	连体泳装直播主播	\n{{{presenting}}},{curvy},{{{black theme}}},{{{shiny skin,shiny swimsuit,latex swimsuit}}} sweat,oiled skin,knee up,feet,plantar flexion,{{{{transparent swimsuit,translucent swimsuit}}}},headphones around neck,headphones,wire,hand up,full body,sitting,{computer,monitor,glowing monitor,speaker} gaming chair,indoors,from above,{{highleg swimsuit}} covered nipples,nipples,covered pussy,covered navel,sideboob,{{undersized swimsuit}},wedgie,1girl,solo,one-piece swimsuit,{{purple competition swimsuit}},highleg swimsuit,hair between eyes,ass visible through thighs,black one-piece swimsuit,\nSwitch按钮手柄泳装\nslingshot swimsuit,criss-cross halter,nintendo switch print,red bikini,blue bikini,two-tone bikini,cross hair ornament,standing,black cross,transparent bandeau,holding swim ring,
泳装	树叶比基尼	\nleaf bikini,
泳装	超细弹弓泳衣+乳贴	\n{black collar,gloves,pink gloves,elbow gloves,pasties,heart pasties,slingshot swimsuit,pink slingshot swimsuit,heart maebari,pink thighhighs,high sandals},shiny skin,covered nipple,large areola,pubic hair,
泳装	色情交叉系带紧身胶衣泳衣	\ncross-laced cutout,latex white swimsuit,thigh cutout,cross-laced legwear,navel exposed,leather leggings,high heel boots,
泳装	裁剪比基尼	\nnsfw,seaside,smile,micro bikini,life buoy,{nipples cutout},{pussy cutout},
泳装	短上衣+连体泳衣	\nbaseball cap,beach,blue one-piece swimsuit,condom packet strip,condom wrapper,covered navel,holding bag,licking lips,looking at viewer,ocean,one-piece swimsuit,plastic bag,shrug (clothing),tongue out,two-tone swimsuit,wet swimsuit,white one-piece swimsuit,zipper pull tab,
泳装	薄纱衬衫比基尼	\nclosed mouth,smile,standing,leaning forward,hanging breasts,hand on own knee,{hand on headwear,straw hat,nude,white shirt,open shirt,see-through shirt,micro bikini,square bikini,strapless,cleavage,sarong,side-tie bikini bottom,outdoors,beach,seaside,blue sky,cowboy shot,
泳装	薄纱衬衫比基尼	\nclosed mouth,smile,standing,leaning forward,hanging breasts,hand on own knee,{hand on headwear,straw hat,nude,white shirt,open shirt,see-through shirt,micro bikini,square bikini,strapless,cleavage,sarong,side-tie bikini bottom,outdoors,beach,seaside,blue sky,cowboy shot,
泳装	贝壳珠串比基尼泳衣	\nsunlight,strapless,bare shoulder,{{jewel seashell pasties}},pearl,nipple chain,waist chain,nude,on side,wedgie,seaside,jewelry,o-ring,sweat,:d,sunlight,lens flare,water drop,
泳装	其他版本1	\nhalter bikini,scallop shell bikini,pearl bikini bottom,pearl thong,micro bikini bottom,revealing bikini,translucent jacket,long sleeves,off shoulder,
泳装	透明水手领连体泳装	\nblue sailor collar,neckerchief,bare shoulders,white one-piece swimsuit,see-through,covered nipples,highleg,covered navel,cameltoe,looking at viewer,standing,hugging swim ring,mouth hold,holding popsicle,wet,outdoors,beach,seaside,
泳装	色情晒痕泳装	\ntan lines,{sexy swimsuit design},
泳装	沙滩场景+色情泳装2	\nlatex slingshot swimsuit,straw hat,light smile,dappled sunlight,outdoors,seaside,beach mat,beach umbrella,
泳装	毛绒披肩比基尼	\nblue bikini,blue thighhighs,foot out of frame,fur trim,hood up,knee up,long sleeves,looking at viewer,lying,navel,no shoes,on back,partially visible vulva,stirrup legwear,stomach,toes,underboob,cameltoe,
泳装	解开的比基尼	\n{{{{untied bikini,covered nipples}}},thong bikini,tan lines,hands behind back,convenient censoring,looking away,light smile,areola slip,underlighting,bokeh,sitting on beach,seaside,blurry background,wet hair,wet,steaming body,looking away,groin,navel,
泳装	黑色妆容比基尼	\nnipple piercings,heart shaped choker,black lipstick,looking at viewer,black langerie thigh highs,black langerie elbow gloves,eye shadow,eye liner,black skimpy bikini,
泳装	比基尼（黑白异色款）	\ncleavage,chain,single thighhigh,white bikini,black bikini,mismatched bikini,
泳装	水手服领条纹系带比基尼	\nsailor dress,side-tie bikini bottom,striped bikini,striped thighhighs,
泳装	印花系带比基尼	\n{string bikini},thong bikini,frilled bikini top,highleg bikini,white bikini,floral print bikini,orange bikini,sunglasses,eyewear on head,
泳装	复杂版	\nadjusting eyewear,armpits,arms up,blush,cloud,day,eyewear on head,frilled bikini,frilled thigh strap,frills,hairclip,looking at viewer,navel,ocean,open mouth,outdoors,pink bikini,side-tie bikini bottom,sunglasses,swim ring,steam,steaming body,
泳装	高腰系带微型比基尼	\nblack bikini,underboob,thigh strap,side-tie bikini bottom,o-ring,skindentation,cameltoe,o-ring bikini,micro bikini,highleg bikini,string bikini,thigh gap,
泳装	眼罩/口罩比基尼	\nsquare bikini,strapless bikini,
泳装	绒毛边比基尼	\nwhite gloves,side-tie bikini bottom,hair ribbon,fur trim,
