	一些前言	\nPS1：请于【】处添加角色与画风的tag描述；若无，请直接添加于tag组前\nPS2：请注意，本法典早期大部分tag以Nai3模型为基础测试整理，目前已转为Nai4.5测试。理论Nai系列与其他AI模型如Noob等模型通用。（其他模型应用请自行转换权重）\nPS3：标有字底颜色为此次更新增添的tag，字号较小的为附注内容\nPS4：若分类中的tag寻找不到，请活用WPS或其他软件自带的CTRL+F快捷键进行快速检索\nPS5：本法典一般于每月下旬或特殊日期（生日、节日等）更新，且保持月更，可据此判断本所长法典是否为最新版本。\nPS6：本法典为无偿免费分享，由一般所长整理编纂，tag多来源于解构原典群与其他群群友，在此对tag提供者提出感谢。\nPS7:若对法典收集tag存在疑问或者错误反馈，可以通过QQ：2319231932或2213681558（小号）联系一般所长，添加好友时请备注缘由。\nPS8：此外，于此特别感谢御堂/神宫寺、KKO、泡面、七号、别里磕夫这几位群友在tag整理上的协助支持，帮我解决了很多费时费力的基础工作，再次感谢\nPS9：当各位看到这一条的时候，证明所长法典今日（2025.12.29）已经两岁啦！再次感谢在编辑法典中提供助力的各位，提供Tag的各位，以及谋面或者素未谋面的使用这本法典的各位！希望我们还能在法典三岁见面！
正身位	普通传教士位	\n1boy,1girl,{{{head back}}},faceless male,leg grab,blush,nude,steaming body,lying,missionary,on back,on bed,sex,sheet grab,spread legs,sweat,motion lines,head back,arched back,cum,female ejaculation,overflow,female ejaculation,tongue out,twitching,
正身位	侧视抓手咬脖正身位	\nchar1：boy,sex,rape,missionary,face-to-neck,breasts press,cheek-to-neck,cuddling,deep skin,maiting press,penis in pussy,sucking neck,tight hug,headpat,saliva drip,holding hand,\nchar2：blush,torogao,female orgasm,embrrassed,head back,nipples,lying,on back,sex,rape,cleft of venis,hands up,looking to the side,spread legs,unworn panty,unworn shirt,unworn skirt,unworn red jacket::,soggy wet,sweat,3::speech bubble,from side,close-up,indoors,
正身位	口交失神后预备插入	\n1girl,solo focus,girl,boy,furrowed brow,hetero,large penis,solo focus,from above,sweat,cum in mouth,vomiting cum,open mouth,cum on body,cum on face,lying,on back,fucked silly,imminent penetration,pussy,rolling eyes,
正身位	侧视预备插入（推荐横图）	\nnsfw,from side,close-up,1girl,1boy,missionary,\nchar1：girl,nipples,pussy,nude,white ankle socks,sweatdrop,blush,frown,shy,closed mouth,leg grab,folded,v legs,vaginal,\nchar2：boy,faceless male,dark-skinned male,huge penis,
正身位	脸部视角抬腿正身位	\nfront view,dutch angle,upside-down,1girl,1boy,nipples,ears blush,full body,leg grab,leaning back,face to face,sex,penis,folded legs,2::spread legs::,legs lift,on back,lying,pussy,on bed,speed line,heavy breathing,{{{{motion blur}}}},unworn clothes,unworn shoes,unworn panties,bedroom,blurry,blurry background,completely nude::,
正身位	另一版本	\n1boy,1girl,{{{head back}}},faceless male,leg grab,blush,nude,steaming body,lying,missionary,on back,on bed,sex,sheet grab,spread legs,sweat,motion lines,head back,arched back,cum,female ejaculation,overflow,female ejaculation,tongue out,twitching::,
正身位	第一人称分穴握住几把预备插入正身位	\nnsfw,1girl,1boy,hetero,bdsm,-1::amputee::,{{{{imminent insertion,just the tip,guided penetration}}}},\nchar1：girl,choker,collarbone,chiton,1.3::tongue out,saliva::,1.2::steaming body::,lying,arched back,on back,{{in heat}},looking at viewer,1.4::trembling::,heavy breathing,happy,twitching,spreding own pussy,pink pussy,\nchar2：boy,pov,penis,male pubic hair,torso grab,
正身位	第一人称预备插入惊慌正身位	\nuncensored,nsfw,pov crotch,from above,white background,on bed,steam,hot,fog,motion lines,blurry edges,depth of field,1girl,1boy,\nchar1：girl,school uniform,shirt lift,pleated skirt,skirt around one leg,thighhighs,highleg panties,panties aside,impossible clothes,skindentation,deep skin,bra lift,feet out of frame,curvy,puffy nipples,stomach,navel,groin,pussy,clitoris,clitoral hood,labia,thick thighs,female pubic hair,lying,on back,on bed,looking at penis,folded,full-face blush,wide-eyed,in heat,sweatdrop,!?,nervous smile,spoken interrobang,steaming body,heavy breathing,twitching,spasm,trembling,heart,sweat,\nchar2：boy,large penis,erection,hand on own penis,just the tip,standing,male pubic hair,
正身位	提腿舔脚正身位	\n{{{cowboy shot,full body,on back,looking at another,lying,legs apart,shiny skin,dorsiflexion,toes,feet,pussy,panty aside}}}.\nchar1：boy,{{interracial,tall male,hetero,missionary,deep penetration,male pubic hair,tone male,faceless male,licking foot,grabbing another’s ankle,boy on top,kneeling,all fours}},
正身位	无漏仅上半身正身位	\nwhite bed,above view,pov,dutch angle,upper body,1.8::realistic_skin::,0.8::glossy skin,::,-2::nipple,::,voluptuous,areola,1.5::target#do sex,deep penetration,,::,1.4::lying,on back::,0.6::shy,blush::,0.7::looking at viewer::,1.4::wet hair,messy hair,sweat,sweatdrop,motion blur,hug legs,m legs,cum,cum silk,cum on body,cum on breasts,cum on face,
正身位	正身抱腿分穴预备插入惊慌	\nchar1：girl,sweat,sweatdrop,from above,lying on back,beach towel,hugging own legs,legs up,folded,legs,feet,toes,soles,highleg swimsuit,cameltoe,spread toe,barefoot,steam,sexually suggestive,wavy mouth,blush,open mouth,{surprised},spoken exclamation mark,beach towel,beach,wet,{swimsuit aside},pussy,clitoris,\nchar2：boy,sweat,pov,large penis,erection,pov hand,spread pussy,{imminent penetration},
正身位	厨房亲吻坐在台子上性爱	\n1girl,french kiss,{mature female},plump,huge breasts,sagging breasts,cleavage,large nipples,areola,girl sitting,on table,leaning back,spread legs,m legs,knees up,girl head back,tongue out,tears,saliva,dress lifted,arms support,half closed eyes,nervous,nervous sweatdrop,open mouth,endurance face,looking at another,embarrassed,full face blush,steam,heavy breath,1 male,muscular male,suited male,waistcoat,male trousers down,large penis,veiny penis,testicles,male hand on own hip,having sex,standing sex,male archered back,male head out of frame,speed lines,pussy,labia,clitoris,vaginal,excessive pussy juice,pussy juice drip,female orgasm,hearts,sound effect,indoors,kitchen,from side,nsfw,uncensored,front to front,grabbing another’s chin,cum in pussy,
正身位	原版服装	\nshrug(clothes),short sleeves,puffy sleeves,white wrist cuffs,white gloves,maid dress,white corset,white dress bowknot,back bow,maid apron,black dress,frill-trimmed dress,light purple panties,panties around one leg,panties unworn,white knee high socks,frill-trimmed socks,black mary janes,
正身位	分穴手扶几把预备插入	\nnsfw,pov,pov crotch,from above,indoors,{{night}},hotel room,luxury hotel,soft lighting,ambient light,dimly lit,bed with white sheets,large window,night cityscape outside,steam,hot,foreshortening,depth of field,{{{{{1girl,1boy}}}}},teaming body,heavy breathing,twitching,spasm,trembling,female orgasm,heart,sweat,spoken heart,full-face blush,saliva,\nchar1：girl,nude,covered nipples,pussy,lying,on back,on bed,spread pussy,folded,looking at penis,\nchar2：boy,huge penis,erection,hand on own penis,just the tip,{{{standing}}},pubic hair,
正身位	原版服装	\ntracen training uniform,red track suit,white shirt,wet clothes,see-through shirt,impossible clothes,bottomless,jacket partially removed,thighhighs,
正身位	床上捂脸传教士体位	\n1male,muscular male,nude male,1girl,breasts apart,large nipples,puffy nipples,areola,pubic hair,vaginal,spread pussy,labia,clitoris,navel,white shirt,no collar,{{sportswear,long sleeves,white tracksuit}},green sleeves,green pants,oversize clothes,shirt lifted,unworn pants,no panties,no bra,girl lying,on back,{arm up,arm over eye,arm covered eyes},{outstretched arm,open hand,hand towards viewer,waving hand},{facing away},full face blush,wavy mouth,open mouth,saliva trail,nervous sweatdrop,heavy breathing,steam,on white sheet,on bed,head on pillow,head tilted,spread legs,girl legs up,male kneeling,one hand on another’s leg,missionary,pussy juice trail,large penis,veiny penis,speed lines,motion lines,girl trembling,pov,pov crotch,from above,on recording,rec,fake screenshot,hearts,nsfw,
正身位	第一人称震动棒强制高潮肛交	\nteardrop facial mark,breasts apart,pink nipples,puffy nipples,pink areola,navel,girl leaning back,spread legs,knees up,armd support,open mouth,tongue out,half closed eyes,looking at viewer,endurance face,sweatdrop,full face blush,steam,heavy breathing,saliva trail,trembling,motion lines,sweatdrop,pussy,labia,clitoris,hitachi magic wand on clitoris,rubbing clitoris,pussy juice trail,excessive pussy juice,anal sex,anus,buttocks,anal insertion,large penis,veiny penis,penis in anus,steaming pussy,1male,muscular male,nude male,pov,pov hands,male hand on another’s leg,{male holding hitachi magic wand,hitachi magic wand to another’s clitoris},pov crotch,from above,indoors,wooden desk,hearts,female orgasm,pussy juice trail,
正身位	原版服装	\nwhite serafuku,long sleeves,blue sailor collar,red neckerchief,blue cat hat,blue skirt,pleated skirt,skirt unworn,skirt laid on desk,white panties,bow panties,panties unworn,panties laid on desk,white socks,knee high socks,vertical stripes,white bra,bra lifted,serafuku lifted,··
正身位	女方第一人称传教士位	\n1boy,1girl,female pov,head out of frame,hetero,lying,missionary,muscular,muscular male,no face male,navel,nipples,nude,on back,pov,pussy,sex,vaginal,holding arother’s thighs,cum,no shoes,girl’s hands on own breasts,no hat,female pubic hair,
正身位	压腿传教士体位脸部视角	\nfront view,dutch angle,upside-down,1girl,1boy,nipples,ears blush,full body,leg grab,leaning back,face to face,sex,penis,folded legs,2::spread legs::,legs lift,on back,lying,pussy,on bed,speed line,heavy breathing,{{{{motion blur}}}},unworn clothes,unworn shoes,unworn panties,bedroom,blurry,blurry background,completely nude,
正身位	其他版本1	\n1girl,1boy,upside-down,condom,nipples,hetero,used condom,used tissue,navel,lying,on back,sweat,sheet grab,open mouth,spread legs,condom wrapper,nude,bottomless,speech bubble,spoken heart,tatami,sex,heart,bed sheet,trembling,on bed,solo focus,after sex,multiple condoms,barefoot,indoors,futon,cum,
正身位	无漏浴缸传教士体位	\nsexy,movie tonal,cinematic shot,dynamic perspective,dynamic angle focus,pose variation,beautiful detailed glow,close-up,backlighting,sweat,steam,wet,indoor,looking at the viewer,bathroom,lying,bubble,bathing,pov,from above,convenient censored,indoor,bathroom,bathing,steam,bubble,soap bubble,foam,bathroom wall,lying on a bathroom stool,sex,kissing,penis,spread legs,
正身位	无漏摄影遮脸传教士位	\n1girl,id card,tongue out,implied sex,open mouth,1boy,hetero,fake phone screenshot,collarbone,fake screenshot,speech bubble,blush,covering own eyes,solo focus,teeth,on back,cleavage,lying,pov,out-of-frame censoring,viewfinder,upper teeth only,stomach bulge,
正身位	正面位全身压住少女侵犯	\n1boy,1girl,{greasy skin},light lines,side light,nsfw,motion lines,from above,clothes aside,nude,used condom,stained sheets,long cum,pillow,cum on sheets,table,wooden floor,mess room,books,table lamp,dark,size difference,cum in mouth,spread toes,spread fingers,head tilt,arms at sides,lying,sex after,spread legs,france kiss,kissing,scratching sheets,{{{man,strong,sex,full body,back,lying on the girl,man covered the girl}},
正身位	并腿提起传教士体位	\nupside-down,1girl,1boy,completely nude,sex,full body,rough sex,leaning back,hands to own mouth,face to face,sex,grab another’s legs,legs together,legs lift,on back,lying,
正身位	抓腿提臀传教士体位	\nfront view,upside-down,1girl,1boy,full body,leg grab,rough sex,leaning back,face to face,sex,penis,folded legs,spread legs,legs lift,on back,lying,pussy,on bed,speed line,heavy breathing,{{{{motion blur}}}},unworn clothes,unworn shoes,unworn panties,bedroom,blurry background,completely nude,
正身位	坐在桌子上正身性爱	\nclose-up,from side,hetero,1man,1girl,size difference,face to face,table,day,sunlight,tyndall effect,light particles,modern indoors,fantasy room,perspective,loaded interior,\nchar1：girl,body blush,full-body blush,thick thighs,wide hips,wide hips,ass ripple,barefoot,toes,sitting on table,arm support,legs up,pussy juice,pussy juice trail,half-closed eyes,tears,blush,flustered,torogao,moaning,heavy breathing,open mouth,saliva,^^^,trembling,twitching,\nchar2：boy,muscular male,standing,vaginal,grabbing another’s thigh,deep skin,motion lines,motion blur,
正身位	掐腰传教士体位	\ntorso grab,pov,on back,spread legs,cum on stomach,lying,
正身位	原版符咒遮点+服装	\n{breast curtains,ofuda on nipples},topless,{{detached sleeves,sleeves past fingers,very long sleeves}},{upper body},stomach tattoo,single hair bun,hair flower,convenient censoring,covered nipples,
正身位	锁背腿传教士位	\n1boy,1girl,naked boy,missionary sex,【画师】,leg lock,vaginal,saliva trail,half-closed eyes,looking at viewer,full-face blush,moaning,{trembling,sweat,motion lines},steaming body,messy room,dark room,
正身位	腿夹住腰tag（不算稳定）	\nfrom side,leg lock,hug male,
正身位	第一人称传教士位分穴前端插入	\n1girl,1boy,hands pov,{{{sex,penis,labia pull,spread pussy}}},{from above},{{{looking to the side,day,sunlight,blush,pussy juice,labia,clitoris}}},{{{tears,crying,barefoot,legs up}}},lying on bed,folded,{{{{{spread arms}}}}},pillow,nude,{spread legs},nipples,
正身位	第一人称传教士体位即将大几把插入	\n{{{pov,pov crotch,from above}}},{{indoors,night}},hotel room,luxury hotel,soft lighting,ambient light,dimly lit,bed with white sheets,large window,night cityscape outside,steam,hot,foreshortening,depth of field,{{{{{1girl,1boy}}}}},{{{steaming body,heavy breathing,twitching,spasm,trembling,female orgasm,heart,sweat,spoken heart,full-face blush,saliva}}},\nchar1：girl,nipples,pussy,lying,on back,on bed,spread pussy,folded,looking at penis,a white spiky speech bubble with black clean typography text says “onegai…“.text:onegai…,\nchar2：boy,huge penis,erection,hand on own penis,just the tip,{{{standing}}},
正身位	原版girl服装	\nblack lace-trimmed garter belt,black lace-trimmed legwear,red lace-trimmed thighhighs,red lace-trimmed panties,red babydoll,see-through clothes,red frilled bra,pink robe,open robe,panties aside,
